HOLEID,X,Y,Z,th1,th2,th3,F80,P80,M,A,cu_ppm,si_ppm,fe_ppm,s_ppm,A_x_M,th_avg,P80_over_F80
1,556.4330369998934,-521.9991299975663,234.283516946,0.073250932955317,0.3074892809630329,0.5639041988314257,2501.0242984779024,83.63717619111021,1.1253186862050022,106.0,24539.0566037735,79297.137580794,507200.369344413,12400.0,119.28378073773024,0.31488147091659185,0.03344116898104946
2,740.8946509999223,-292.4864499978721,247.783139528,0.0434246915637725,0.1926313539527087,0.4486629797528173,2468.309368182993,82.84667022983813,1.0263934029017534,106.0,3290.72435267125,332333.540630182,34711.7882808181,1500.0,108.79770070758586,0.22823967508976617,0.033564135556810044
2,729.0793129999656,-323.26645999774337,161.89374029,0.0361941686886072,0.1802552773889381,0.4030789661777429,2416.4582143049865,83.29636963345409,0.8861611277168455,106.0,3626.22950819672,233414.863593603,162652.869238005,1100.0,93.93307953798562,0.20650947075176274,0.03447043658373853
3,-315.88009500002954,286.8803000021726,191.313299111,0.049335594450932,0.1777745806037302,0.3770736277007336,2517.6831523041287,80.86406113824619,0.89556038373711,106.0,7020.72557288516,193614.130127633,258735.44409259,2320.0,94.92940067613365,0.20139460091846528,0.0321184423322852
5,213.99207099992785,-485.3250699974597,216.292782562,0.0557385113825903,0.2140988253827504,0.5070940915840739,2514.1046544757937,81.80844770831693,1.2769789914268956,106.0,31608.654750705497,140305.052430886,356110.581506196,16700.0,135.35977309125093,0.2589771427831382,0.032539794062540525
5,196.94651999988127,-529.7302499972284,340.202244669,0.047694164696458,0.1717946080849009,0.3108303353624504,2549.3337912250336,81.65929239449011,0.8127445969586473,106.0,5087.2359963269,177264.150943396,284660.37735849,2150.0,86.15092727761662,0.17677303604793645,0.03203162044749358
5,204.13846499996723,-510.9945999979973,287.921740785,0.0330286711702247,0.1548658938134909,0.3538399294100809,2625.409502695262,77.43639178346447,0.7675790040136734,106.0,4247.63409961685,208905.243790248,246472.861085556,1930.0,81.36337442544938,0.18057816479793218,0.02949497657564193
6,497.1911649999674,-521.5241799969226,289.606527738,0.034073028531035,0.1577128337281286,0.3640138536841179,2575.8649019742875,80.35391292756093,0.8054116667106876,106.0,2693.08994357782,194656.37065637,231501.93050193,1429.9999999999998,85.37363667133289,0.18526657198109384,0.031194925194241815
6,512.9719309998909,-480.4138799980283,168.621102812,0.0456203898656409,0.1617498068783196,0.3579290492286662,2452.1841661393028,86.48415448061859,0.8043501763052124,106.0,3123.7721021611,202991.202346041,225728.250244379,1090.0,85.26111868835252,0.18843308199087558,0.03526821340534895
6,524.6159919998609,-450.08006999641657,79.3503038372,0.0424070341384703,0.1846362211253933,0.3884571721311906,2262.5958234221625,84.94716047530659,0.7482898402859707,106.0,4842.70734032411,193222.003929273,269842.82907662,1510.0,79.31872307031288,0.20516680913168472,0.0375441161854637
6,503.2889759999234,-505.6388399973512,242.856819854,0.0573075447303535,0.2581858562145804,0.535507591832149,2497.5517053061185,84.6303411591721,1.180207484017109,106.0,19492.0159680638,153235.430784123,323519.845111326,18600.0,125.10199330581356,0.28366699759236097,0.03388532096427577
11,552.5592189999297,-284.3112799972296,143.255282958,0.0351458483309615,0.154206065168365,0.3414029584901773,2229.5814878841384,79.03683711204148,0.9213110364448972,106.0,2433.69351669941,207120.458891013,218728.489483747,1030.0,97.6589698631591,0.17691829066316797,0.03544918072810474
11,554.152616999927,-280.1603399962187,155.471287028,0.0338279192786736,0.1554614579473027,0.3980109570301486,2288.3431356308,81.6694274309246,1.1726528933897615,106.0,19242.522756827,155659.931887625,345036.42469646,6080.0,124.30120669931472,0.195766778085375,0.0356893274261562
11,556.9410629998893,-272.8961899969727,176.849294151,0.0382127977414402,0.2059197285907096,0.3926835483297763,2338.979140686976,84.468796049818,0.9889670560464072,106.0,2261.70537491705,214537.593984962,217763.157894736,777.9999999999999,104.83050794091916,0.2122720248873087,0.03611353114718623
13,347.9546909999335,-491.232489997521,242.668666164,0.037650275866565,0.1868607135929952,0.3435443181268691,2375.657849716321,85.74438770793569,0.7534702239525588,106.0,3939.2755751346,194653.883029722,259455.417066155,1960.0,79.86784373897123,0.18935176919547644,0.03609290273772988
13,351.8646439999575,-481.0467199962586,212.692471561,0.037121741095812,0.1770232190640078,0.359555094723386,2280.7971142515485,85.48981500190527,0.8622812549676832,106.0,3782.372227579549,199815.71290009705,255266.731328807,1530.0,91.40181302657442,0.19123335162773528,0.037482428606964914
13,338.94586599990726,-514.7012899965048,311.736073792,0.0454170959596821,0.2216114059006857,0.4487601056145325,2304.555671804461,87.38688978479504,0.8874693781876556,106.0,3441.25809435707,218407.40740740695,201870.37037037,2320.0,94.07175408789149,0.2385962024916334,0.03791919234321267
