HOLEID,X,Y,Z,cu_ppm,au_ppm,ag_ppm,fe_ppm,s_ppm,total_sulphide_ppm,CuEq_ppm
1,559.7251749999123,-513.3103199973702,252.82,7200.0,1.04,0.64,351800.0,6100.0,365100.0,7409.76
1,558.9551749998936,-515.2303199972957,246.87,1000.0,0.06,0.2,215200.0,600.0,216800.0,1025.8
1,557.2251749999123,-519.6103199962527,233.37,21800.0,2.02,3.44,462600.0,11700.0,496100.0,22391.96
1,555.3751749999356,-524.3003199975938,218.92,22900.0,3.43,4.88,444900.0,11000.0,478800.0,23824.42
1,553.825174999889,-528.2103199977428,206.94,5900.0,0.5,1.25,288600.0,2200.0,296700.0,6080.0
1,552.075174999889,-532.5603199973702,193.91,5600.000000000001,0.9,0.9,292900.0,2800.0000000000005,301300.0,5810.600000000001
1,550.3051749998704,-537.0803199969232,180.8,20000.0,3.56,0.93,485400.0,19600.0,525000.0,20612.12
1,547.4951749999309,-544.3103199973702,160.08,2800.0000000000005,0.21,0.76,239700.0,1400.0000000000002,243900.0,2895.3400000000006
1,544.3351749998983,-552.4303199965507,137.08,6100.0,0.2,1.12,255700.0,2800.0000000000005,264600.0,6224.08
1,541.6951749998843,-559.1903199963272,117.96,2500.0,0.16,0.77,214400.0,900.0,217800.0,2588.68
1,538.3551749999169,-567.5303199980408,94.33,2100.0,0.12,0.53,190500.0,800.0,193400.0,2162.52
1,537.0651749998797,-570.6803199965507,85.41,3900.0,0.27,0.93,335600.0,2100.0,341600.0,4018.62
1,536.1751749998657,-572.9103199969977,79.13,1400.0000000000002,0.11,0.31,250300.0,1000.0,252700.0,1442.5400000000002
1,535.1451749999542,-575.4703199975193,71.89,5600.000000000001,0.64,0.37,267800.0,5300.0,278700.0,5727.080000000001
1,533.1951749998843,-580.3103199973702,58.2,1900.0,0.2,0.55,232100.0,1200.0,235200.0,1976.2
2,745.3451749999076,-280.6003199964762,280.94,4800.0,0.24,0.45,49100.0,1800.0,55700.0,4873.8
2,741.8651749999262,-288.97031999751925,257.64,3900.0,0.23,0.27,41700.0,1900.0,47500.0,3957.18
2,738.3051749998704,-297.31031999737024,234.34,7000.0,0.42,0.45,41300.0,3600.0,51900.0,7100.8
2,734.7051749998936,-305.65031999722123,211.05,3500.0,0.16,0.36,61800.0,1600.0,66900.0,3554.24
2,731.4151749999728,-313.15031999722123,190.52,1500.0,0.05,0.15,98600.0,500.0,100600.0,1520.1
2,727.9751749999123,-320.7803199980408,170.07,1500.0,0.03,0.19,179300.0,500.0,181300.0,1520.46
2,723.9951749999309,-329.4603199977428,146.96,3600.0,0.04,0.55,152300.0,1200.0,157100.0,3652.2
2,719.9751749999123,-338.0803199969232,123.85,1300.0,0.14,0.2,178000.0,500.0,179800.0,1337.8
2,716.1951749998843,-345.9103199969977,102.66,2800.0000000000005,0.08,0.38,231400.0,1100.0,235300.0,2843.9200000000005
2,713.8651749999262,-350.72031999751925,89.56,5900.0,0.24,0.89,239900.0,2300.0,248100.0,6010.76
2,711.1551749999635,-356.27031999640167,74.26,3700.0,0.06,0.61,189700.0,1200.0,194600.0,3760.24
2,708.2451749999309,-362.3903199974448,57.53,2500.0,0.07,0.37,202500.0,1000.0,206000.0,2541.58
2,705.325174999889,-368.4003199972212,41.03,700.0000000000001,0.04,0.12,180900.0,300.0,181900.0,716.0800000000002
2,701.4051749999635,-376.4903199970722,19.1,300.0,0.01,0.05,167000.0,100.0,167400.0,305.7
2,697.2251749999123,-384.4803199972957,-2.19,2100.0,0.05,0.42,227000.0,700.0000000000001,229800.0,2142.78
3,-304.02482500008773,318.1296800021082,281.09,2300.0,0.1,0.96,134900.0,400.0,137600.0,2395.64
3,-306.424825000111,311.36968000233173,261.04,6600.0,0.38,2.31,254400.0,1900.0,262900.0,6851.04
3,-308.9148250001017,304.69968000240624,241.7,5699.999999999999,0.2,2.07,159900.0,1500.0,167100.0,5903.879999999999
3,-311.55482500011567,297.72968000359833,222.02,7300.0,0.27,2.74,179700.0,1900.0,188900.0,7570.66
3,-313.37482500006445,293.0796800032258,208.94,1900.0,0.23,0.8,208700.0,600.0,211200.0,2001.7
3,-314.71482500003185,289.72968000359833,199.45,9900.0,2.17,3.39,291400.0,3000.0,304300.0,10510.26
3,-317.0448250001064,284.0996800027788,183.37,2500.0,0.14,1.1,240800.0,800.0,244100.0,2613.4
3,-320.63482500007376,275.9296800028533,160.01,7300.0,0.21,2.61,258900.0,2200.0,268400.0,7550.74
3,-323.87482500006445,268.8396800030023,139.9,5100.0,0.11,1.69,257400.0,1600.0,264100.0,5258.46
3,-327.4148250001017,261.13968000374734,118.44,5699.999999999999,0.12,2.02,173100.0,1600.0,180400.0,5887.679999999999
3,-329.9548250001389,255.77968000248077,103.66,25900.0,0.6,8.06,369000.0,8100.000000000001,403000.0,26667.04
3,-332.30482500011567,250.89968000352383,90.28,8000.0,0.52,3.17,163600.0,2500.0,174100.0,8344.28
3,-336.4848250000505,242.3496800027788,67.17,1300.0,0.05,0.49,150900.0,400.0,152600.0,1348.66
3,-340.44482500012964,234.53968000225723,46.39,3200.0,0.16,0.95,158500.0,1000.0,162700.0,3303.8
3,-342.8448250000365,229.9996800031513,34.28,3200.0,0.17,0.86,343300.0,1000.0,347500.0,3297.74
3,-345.19482500012964,225.62968000210824,22.57,5800.0,0.17,1.37,289700.0,1800.0,297300.0,5940.58
4,-416.5748250001343,570.3496800027788,256.16,2500.0,0.15,0.33,23700.0,100.0,26300.0,2550.22
4,-419.8948250000831,562.2896800022572,232.84,1900.0,0.1,0.25,58400.0,700.0000000000001,61000.0,1936.0
4,-422.2448250000598,556.7696800027043,216.9,1200.0,0.22,0.15,32300.0,600.0,34100.0,1245.6
4,-424.0148250000784,552.5996800027788,204.85,2300.0,0.07,0.21,110700.0,1100.0,114100.0,2328.14
4,-427.4948250000598,544.5596800036728,181.52,2000.0,0.04,0.12,90900.0,900.0,93800.0,2016.08
4,-436.36482500005513,524.7596800029278,125.29,1500.0,0.1,0.23,50400.0,600.0,52500.0,1534.32
4,-442.4048250000924,511.7796800024808,89.98,2800.0000000000005,0.02,0.35,99200.0,1000.0,103000.0,2832.4000000000005
4,-452.8248250001343,490.1696800030768,32.43,6200.0,0.39,1.01,247000.0,2400.0,255600.0,6343.34
4,-456.034825000097,483.7196800019592,15.37,15400.0,0.31,2.5,392600.0,5800.0,413800.0,15656.5
4,-458.9948250000598,477.9196800030768,0.07,15700.0,0.33,2.77,260700.0,5900.0,282300.0,15982.18
4,-463.55482500011567,469.2196800019592,-22.92,2200.0,0.08,0.5,240400.0,800.0,243400.0,2254.0
