HOLEID,X,Y,Z,fr,xr,recovery_pct,ag_ppm,au_ppm,cu_ppm,fe_ppm,s_ppm,si_ppm
1,552.4774669999024,-532.303739996627,205.5292,0.2830151271833303,0.0186736483195323,0.8784821716072408,3.868453,0.559473,5267.969999999999,277450.4,2190.0,185170.63
1,549.263566999929,-540.6762389969081,182.1664,0.2227456395053706,0.0767351043643263,0.920572569379798,2.965905,4.521,18697.73,558611.59,18400.0,62195.06
2,737.6197469999315,-301.0178699977696,223.9768,0.1955713057083942,0.0234064621409921,0.9177857819450916,1.346002,0.352,5444.360000000001,38021.32,2715.0,324693.8
2,745.7748989999527,-279.77296999655664,283.2592,0.1643816282914633,0.0322024462809917,0.9427084694993364,1.16302,0.145705,5681.49,55330.68,2515.0,297536.61
3,-310.27390000002924,301.1009400021285,231.504329881,0.217,0.0797,0.914802618768758,6.66997026759167,2.6,18123.8410596026,227347.698334965,5440.0,223275.220372184
3,-306.22738000005484,311.9092800021172,262.633392299,0.1989999999999999,0.023,0.8165126543313833,2.8358318014053,0.24,5079.32293395287,255829.7600266,1780.0,202817.045928871
5,200.3498509998899,-520.8642699979246,315.4624,0.2176240457060524,0.031381492248062,0.8756597187559269,4.438694,0.317735,7839.34,273992.3,4260.0,186907.6
5,211.1493269999046,-492.730676997453,236.9576,0.1682599995957718,0.0697615087040618,0.8429563505679346,4.445762,1.1155,13794.58,362992.13,8065.0,146501.77
6,506.3532019999111,-497.6562599968165,219.3645,0.2193633015488623,0.0589591439688715,0.9581099895003604,2.042435,3.452796,12962.990000000002,462397.25,13100.0,93321.73
6,509.5399979999056,-489.3543699979782,194.9325,0.2165098929614012,0.0636739961759082,0.9205297430918832,4.072533,2.708977,14964.62,440684.82,9920.0,103474.71
6,500.2247489999281,-513.6214199978858,266.3491,0.2005035523888158,0.0548799224054315,0.9373746112787212,2.800237,2.116526,10963.4,390758.36,9830.0,128867.71
6,494.37207699986175,-528.8681599963456,311.2195,0.2238505920431014,0.0222276462058965,0.9128803666546118,2.720497,0.455832,5092.01,256951.2,2710.0,185147.18
7,-371.59640500007663,386.8847400024533,222.169229867,0.198,0.0289,0.9056868705006867,2.96348034324486,0.14,5846.30672408082,172776.625824693,1980.0,249409.990574929
7,-361.1048250000458,410.72968000359833,291.964,0.2227,0.0384,0.9677899304863592,5.52264349657714,0.061,8768.56476856476,178967.10250054798,2510.0,253151.904861
10,-672.9268250000896,600.7836800031364,306.212,0.317,0.038,0.9345433528693864,4.4372939285586,0.287,12377.1200532091,180804.681831642,4330.0,220566.039831198
10,-672.9268250000896,600.7836800031364,306.212,0.342,0.0579999999999999,0.9352047937243372,5.69380848098745,0.178,20119.6249595861,274830.188679245,7690.0,180522.641509434
11,560.7100619999692,-263.07761099748313,205.7448,0.2571227312920582,0.035645438153957,0.914669561612953,4.375497,0.4215,9405.3,339666.0,2849.9999999999995,162673.8
11,547.6564569999464,-297.08341399766505,105.6676,0.258176558664453,0.0656528576148001,0.8991838360737229,6.066575,0.391,19392.71,374561.26,6370.0,145050.79
11,555.4089499999536,-276.8874799963087,165.1031,0.2604150962359918,0.0367103153745071,0.9028742811643456,4.245469,0.360442,10244.21,270311.86000000004,3240.0,188498.6
13,364.6853679999476,-447.647591996938,114.4006,0.1858490566037736,0.0505174792703151,0.8214,4.165842,1.5405,10684.68,390037.99,5880.0,142062.3
13,359.16975999996066,-462.0162399969995,156.6868,0.2049905497245345,0.0578799607072691,0.9445104213838522,2.22332,0.301018,12352.05,221631.22,10600.0,193537.56
13,362.0501329998952,-454.5126129966229,134.604,0.194712235522748,0.0350085191347753,0.8677946890706518,2.885748,1.1405,7699.240000000001,331016.88,4610.0,167349.55
14,505.3025179998949,-363.9879559967667,119.181,0.2472093629130844,0.0423158987670344,0.8835345514787979,5.360316,0.811,11161.69,262366.57,3410.0000000000005,183518.33
14,512.8012929998804,-344.4529799968004,176.6808,0.248099799242916,0.0504207007459395,0.8652630758896265,3.792693,0.628467,13972.08,331920.06999999995,6310.0,166257.25
14,507.2023379999446,-359.0387539975345,133.7462,0.2314813869172241,0.0307350178166504,0.905342196665316,5.00998,0.33,8300.56,265039.31,2320.0,183610.74
14,517.0666959999362,-333.34122399799526,209.3727,0.1875521833514235,0.0264958292919495,0.8917408807734546,3.882049,0.1475,6047.179999999999,241290.32,2010.0,201915.93
15,-822.1187250000658,630.9585100021213,242.70142897,0.235,0.0583,0.8506576716137332,3.23570156342766,0.22,13393.899204244,188972.972972973,4640.0,197619.757688723
18,-530.0365630000597,283.8649400025606,215.84581181,0.214,0.0323,0.8591639502231964,2.32142857142857,0.34,7623.75580623755,297378.698224852,2210.0,189102.564102564
